line_state_id,line,start_time,end_time,process_order
890B5160-7CB6-4CA7-9F83-4280B015A513/1,L1B,2022-06-19 01:49:05,2022-06-19 01:49:06,916939569
F6198C14-8453-4758-A535-CF7DA3DEEAD1/1,L1C,2022-06-19 01:49:05,2022-06-19 01:49:06,916939569
BDA6992F-8CFB-476A-807F-956B5D8AF538/0,L1A,2022-06-19 01:49:06,2022-06-19 01:49:32,916939548
E3345AD2-7239-478C-B0F0-C03C14EB2DDF/0,L1B,2022-06-19 01:49:06,2022-06-19 01:49:32,916939569
EB568002-80EE-48BB-ADD8-234846628071/0,L1C,2022-06-19 01:49:06,2022-06-19 01:49:32,916939569
4A6E8C9E-AC18-462E-ABEF-208AAD80FCAE/0,L1B,2022-06-19 01:49:32,2022-06-19 01:51:10,916939569
4D03A2A1-3A0D-46BA-AE7C-32E0C01B4997/0,L1A,2022-06-19 01:49:32,2022-06-19 01:51:10,916939548
815C575F-38EA-4A22-BE97-8760713134A8/0,L1C,2022-06-19 01:49:32,2022-06-19 01:51:10,916939569
4A6E8C9E-AC18-462E-ABEF-208AAD80FCAE/1,L1B,2022-06-19 01:51:10,2022-06-19 01:51:11,916939569
4D03A2A1-3A0D-46BA-AE7C-32E0C01B4997/1,L1A,2022-06-19 01:51:10,2022-06-19 01:51:11,916939548
815C575F-38EA-4A22-BE97-8760713134A8/1,L1C,2022-06-19 01:51:10,2022-06-19 01:51:11,916939569
A29DCA53-3D79-426E-89D2-1763A8D854E9/0,L1C,2022-06-19 01:51:11,2022-06-19 01:51:21,916939569
F8083B22-6779-4CE4-AAB0-A53988E840F6/0,L1B,2022-06-19 01:51:11,2022-06-19 01:51:21,916939569
FCD785D8-E40F-40CE-A1EA-CE5B85F7EBC8/0,L1A,2022-06-19 01:51:11,2022-06-19 01:51:21,916939548
0FFFD0DA-56BF-417A-A561-23432AE95BA9/0,L2B,2022-06-19 01:51:14,2022-06-19 01:51:25,916939573
4666B667-45B7-4865-925C-4181153D6308/0,L2A,2022-06-19 01:51:14,2022-06-19 01:51:25,916939573
A29DCA53-3D79-426E-89D2-1763A8D854E9/1,L1C,2022-06-19 01:51:21,2022-06-19 01:51:22,916939569
F8083B22-6779-4CE4-AAB0-A53988E840F6/1,L1B,2022-06-19 01:51:21,2022-06-19 01:51:22,916939569
FCD785D8-E40F-40CE-A1EA-CE5B85F7EBC8/1,L1A,2022-06-19 01:51:21,2022-06-19 01:51:22,916939548
7A8CCC10-F163-4613-89DE-E1945FD7B899/0,L1A,2022-06-19 01:51:22,2022-06-19 01:51:29,916939548
CA8AF949-2ABE-4D14-BB9E-511CB5AB1254/0,L1B,2022-06-19 01:51:22,2022-06-19 01:51:29,916939569
D8B685C0-4049-4F2D-8685-107636F0DF98/0,L1C,2022-06-19 01:51:22,2022-06-19 01:51:29,916939569
54A31968-1EF1-435D-BB28-895A1EBFE433/0,L2B,2022-06-19 01:51:25,2022-06-19 02:08:56,916939573
CD9BEEF8-AB96-44EB-970E-BCA5FB235AB7/0,L2A,2022-06-19 01:51:25,2022-06-19 02:08:56,916939573
8CA3D56D-95A0-491F-8E9E-AF6071DD883C/0,L1A,2022-06-19 01:51:29,2022-06-19 01:54:38,916939548
9546CE09-722D-4C25-BDC9-157AA887B7CE/0,L1C,2022-06-19 01:51:29,2022-06-19 01:54:38,916939569
DC9B1123-EF6A-464E-91DE-D35DC3229CD1/0,L1B,2022-06-19 01:51:29,2022-06-19 01:54:38,916939569
8CA3D56D-95A0-491F-8E9E-AF6071DD883C/1,L1A,2022-06-19 01:54:38,2022-06-19 01:54:39,916939548
9546CE09-722D-4C25-BDC9-157AA887B7CE/1,L1C,2022-06-19 01:54:38,2022-06-19 01:54:39,916939569
DC9B1123-EF6A-464E-91DE-D35DC3229CD1/1,L1B,2022-06-19 01:54:38,2022-06-19 01:54:39,916939569
538E60F3-9C88-483B-B0FD-42C32AF734B6/0,L1B,2022-06-19 01:54:39,2022-06-19 02:02:23,916939569
7B730892-A82F-4489-8D3A-F5CB1953A10C/0,L1C,2022-06-19 01:54:39,2022-06-19 02:02:23,916939569
D621B7A7-2ABF-45A0-9D3E-F086C3BCF7A0/0,L1A,2022-06-19 01:54:39,2022-06-19 02:02:23,916939548
538E60F3-9C88-483B-B0FD-42C32AF734B6/1,L1B,2022-06-19 02:02:23,2022-06-19 02:02:24,916939569
7B730892-A82F-4489-8D3A-F5CB1953A10C/1,L1C,2022-06-19 02:02:23,2022-06-19 02:02:24,916939569
D621B7A7-2ABF-45A0-9D3E-F086C3BCF7A0/1,L1A,2022-06-19 02:02:23,2022-06-19 02:02:24,916939548
0DC1DD91-0D60-4370-854A-05F4DF0C1EBF/0,L1B,2022-06-19 02:02:24,2022-06-19 02:02:31,916939569
13BEDAED-0B2F-4523-80B9-EE224E905135/0,L1A,2022-06-19 02:02:24,2022-06-19 02:02:31,916939548
5F8785BC-91AE-4347-9846-50BE5CFDAF0F/0,L1C,2022-06-19 02:02:24,2022-06-19 02:02:31,916939569
37B2345C-16C4-452A-966A-C6E45955D045/0,L1B,2022-06-19 02:02:31,2022-06-19 02:03:59,916939569
5E741D66-8C11-4DB8-B027-3616FA839F26/0,L1C,2022-06-19 02:02:31,2022-06-19 02:04:00,916939569
956DE3BE-6876-40D8-8A17-11C10377982B/0,L1A,2022-06-19 02:02:31,2022-06-19 02:04:00,916939548
37B2345C-16C4-452A-966A-C6E45955D045/1,L1B,2022-06-19 02:03:59,2022-06-19 02:04:00,916939569
AE5DAE02-5489-45A9-92AD-0FC0DEF6085F/0,L1C,2022-06-19 02:04:00,2022-06-19 02:04:27,916939569
BE012A3F-CD77-4064-83AA-455247E04641/0,L1A,2022-06-19 02:04:00,2022-06-19 02:04:27,916939548
BE19FE51-CC58-4675-93A8-D740290F3634/0,L1B,2022-06-19 02:04:00,2022-06-19 02:04:28,916939569
AE5DAE02-5489-45A9-92AD-0FC0DEF6085F/1,L1C,2022-06-19 02:04:27,2022-06-19 02:04:28,916939569
BE012A3F-CD77-4064-83AA-455247E04641/1,L1A,2022-06-19 02:04:27,2022-06-19 02:04:28,916939548
3BBA5A0C-EF82-4168-B60D-C4748E65CBB2/0,L1A,2022-06-19 02:04:28,2022-06-19 02:19:22,916939548
55D886A5-517D-4AE9-9816-1927DDE39882/1,L1B,2022-06-19 02:05:00,2022-06-19 02:05:09,916939548
8B637C9F-509C-4B4A-B598-16CC13E18B9F/1,L1C,2022-06-19 02:05:00,2022-06-19 02:19:23,916939548
55D886A5-517D-4AE9-9816-1927DDE39882/2,L1B,2022-06-19 02:05:09,2022-06-19 02:08:27,916939548
55D886A5-517D-4AE9-9816-1927DDE39882/3,L1B,2022-06-19 02:08:27,2022-06-19 02:19:23,916939548
3E4BFEF9-F048-427D-9659-EA1030A53ED4/0,L2A,2022-06-19 02:08:56,2022-06-19 02:09:08,916939573
D33F0A39-FB8D-494B-83EC-BB47AF1C49CD/0,L2B,2022-06-19 02:08:56,2022-06-19 02:09:08,916939573
B9590C86-ED53-46D1-8E21-E8C729957DA1/0,L2B,2022-06-19 02:09:08,2022-06-19 02:11:19,916939573
E56AAF26-CFA5-44B5-A64B-381E5D53E5F5/0,L2A,2022-06-19 02:09:08,2022-06-19 02:11:19,916939573
D5DC5178-02D1-49B8-973B-51EED14F5462/0,L2A,2022-06-19 02:11:19,2022-06-19 02:18:13,916939573
EF3EC6FC-840E-4937-8930-8C22388FD888/0,L2B,2022-06-19 02:11:19,2022-06-19 02:18:13,916939573
B0150DF6-AED5-46CB-BEDF-929F0BC9A818/0,L2B,2022-06-19 02:18:13,2022-06-19 02:22:08,916939573
CA96071F-BD61-44C6-866B-9054C3AED0B8/0,L2A,2022-06-19 02:18:13,2022-06-19 02:22:08,916939573
3BBA5A0C-EF82-4168-B60D-C4748E65CBB2/1,L1A,2022-06-19 02:19:22,2022-06-19 02:19:23,916939548
64B4B3F2-3E9A-4B24-894A-B99013BC2CB7/0,L1A,2022-06-19 02:19:23,2022-06-19 02:19:32,916939548
6ED21EE7-8686-477D-9226-43B52F269B35/0,L1C,2022-06-19 02:19:23,2022-06-19 02:19:32,916939548
FF72E13F-4536-4193-B696-F0FE0D3583EE/0,L1B,2022-06-19 02:19:23,2022-06-19 02:19:32,916939548
C8BE2A73-B9DB-41D4-A709-091A2FC53E44/0,L1C,2022-06-19 02:19:32,2022-06-19 02:22:15,916939548
CB2E2E39-55DE-4F07-A356-C6CD84E53746/0,L1B,2022-06-19 02:19:32,2022-06-19 02:20:07,916939548
F22E4622-5149-4359-9DE8-D3C7A014F027/0,L1A,2022-06-19 02:19:32,2022-06-19 02:29:20,916939548
CB2E2E39-55DE-4F07-A356-C6CD84E53746/1,L1B,2022-06-19 02:20:07,2022-06-19 02:20:10,916939548
CB2E2E39-55DE-4F07-A356-C6CD84E53746/2,L1B,2022-06-19 02:20:10,2022-06-19 02:22:34,916939548
53D1A596-E70A-42E8-9771-59057D1273C8/0,L2B,2022-06-19 02:22:08,2022-06-19 02:22:18,916939573
7D2F0FD5-C4BB-403B-AA94-E4DA84D6DA02/0,L2A,2022-06-19 02:22:08,2022-06-19 02:22:18,916939573
C8BE2A73-B9DB-41D4-A709-091A2FC53E44/1,L1C,2022-06-19 02:22:15,2022-06-19 02:24:42,916939548
167B97FA-BB51-4E86-AF38-E48B7C86B032/0,L2B,2022-06-19 02:22:18,2022-06-19 02:22:39,916939573
2E9F46D1-7921-4A40-8D70-BCA1D1C06A14/0,L2A,2022-06-19 02:22:18,2022-06-19 02:22:39,916939573
CB2E2E39-55DE-4F07-A356-C6CD84E53746/3,L1B,2022-06-19 02:22:34,2022-06-19 02:24:20,916939548
474B27AC-9821-4DB6-995C-5578BD053B73/0,L2B,2022-06-19 02:22:39,2022-06-19 02:25:34,916939573
59CA88BA-0196-415F-9690-6FBC05A8DE96/0,L2A,2022-06-19 02:22:39,2022-06-19 02:25:34,916939573
CB2E2E39-55DE-4F07-A356-C6CD84E53746/4,L1B,2022-06-19 02:24:20,2022-06-19 02:29:20,916939548
C8BE2A73-B9DB-41D4-A709-091A2FC53E44/2,L1C,2022-06-19 02:24:42,2022-06-19 02:29:20,916939548
474B27AC-9821-4DB6-995C-5578BD053B73/1,L2B,2022-06-19 02:25:34,2022-06-19 02:25:35,916939573
59CA88BA-0196-415F-9690-6FBC05A8DE96/1,L2A,2022-06-19 02:25:34,2022-06-19 02:25:35,916939573
347F7C15-5DF3-4BE3-BDB8-20174C04AB6C/0,L2A,2022-06-19 02:25:35,2022-06-19 02:32:54,916939573
FB30EAEE-EF14-4D0A-972B-F7D8487129D8/0,L2B,2022-06-19 02:25:35,2022-06-19 02:32:55,916939573
4794C445-E2A7-42DD-8933-2903B27A719C/0,L1C,2022-06-19 02:29:20,2022-06-19 02:39:34,916939548
99E32FBE-31AF-4F20-A1E3-8478D55606DA/0,L1A,2022-06-19 02:29:20,2022-06-19 02:32:43,916939548
FCD368B0-7A77-49E9-9C89-3FDE36ABCB13/0,L1B,2022-06-19 02:29:20,2022-06-19 02:31:00,916939548
FCD368B0-7A77-49E9-9C89-3FDE36ABCB13/1,L1B,2022-06-19 02:31:00,2022-06-19 02:31:36,916939548
